k,x,scalar_root,reduced_kirchhoff,reduced_norm,full_verified,full_kirchhoff,full_norm,vertices,edges
245,0.006411501429866913,0.8308715421945082,2.1250362580715887e-16,1.7763568394002505e-15,True,5.0411064211886014e-14,7.105427357601002e-15,1960,2940
247,0.006359585033052142,0.8308815467443551,1.3357370765021415e-16,6.661338147750939e-16,True,3.24011650842948e-14,2.5979218776228663e-14,1976,2964
249,0.0063085026680403476,0.8308913890783142,4.336808689942018e-17,1.1102230246251565e-15,True,4.3298697960381105e-15,1.099120794378905e-14,1992,2988
251,0.0062582343967625435,0.8309010731097014,2.185751579730777e-16,1.1102230246251565e-15,True,5.039198225365027e-14,1.8540724511240114e-14,2008,3012
253,0.006208760911643675,0.8309106026269706,4.85722573273506e-17,6.661338147750939e-16,True,1.5591694602079542e-14,1.9539925233402755e-14,2024,3036
255,0.0061600635108754595,0.8309199812986535,8.239936510889834e-17,4.440892098500626e-16,True,1.7921428230316394e-14,3.3306690738754696e-14,2040,3060
257,0.006112124074843886,0.8309292126780693,1.691355389077387e-16,9.992007221626409e-16,True,4.512275969537072e-14,4.218847493575595e-15,2056,3084
259,0.0060649250436490025,0.8309383002078103,7.025630077706069e-17,2.220446049250313e-16,True,1.8753228137047273e-14,5.329070518200751e-15,2072,3108
261,0.006018449395658331,0.8309472472240219,1.1102230246251565e-16,8.881784197001252e-16,True,1.7192844370406135e-14,2.631228568361621e-14,2088,3132
263,0.005972680627038947,0.8309560569604847,9.80118763926896e-17,4.440892098500626e-16,True,2.9999440431804913e-14,2.4646951146678475e-14,2104,3156
