bridgeless,bridges,connected,cubic,cycle_rank,edges,elapsed_seconds,gram_rank,graph_sha256,max_conservation_residual,max_unit_norm_residual,method,name,simple,solver_cost,solver_nfev,three_edge_coloring_search_nodes,three_edge_coloring_status,valid_s2_certificate,vertices
True,[],True,True,8,21,0.0006268509999927119,3,13fbb6479236dd68098eff39fd59ffa0118d85ee2890b8889539b11d7512be24,0.0,1.1102230246251565e-16,exact_three_edge_colouring_construction,random_n14_seed3088902530,True,,,8,colourable,True,14
True,[],True,True,8,21,0.0004920009999977992,3,d311f1b473f01af0222c5efa7adb3917b2a1a3dab3592badbf5fde369e30f83c,0.0,1.1102230246251565e-16,exact_three_edge_colouring_construction,random_n14_seed321767524,True,,,8,colourable,True,14
True,[],True,True,8,21,0.0005355990000452948,3,77c55cdba73064a6bf826d6ac8ffb7eb8fd7bccc5958b87a2ca4c5d92d733943,0.0,1.1102230246251565e-16,exact_three_edge_colouring_construction,random_n14_seed2541433193,True,,,8,colourable,True,14
True,[],True,True,8,21,0.000686048000034134,3,c2336654107e1263fd8887c2d87d89b0e1543875346877b41ee0148d53596407,0.0,1.1102230246251565e-16,exact_three_edge_colouring_construction,random_n14_seed513556859,True,,,10,colourable,True,14
True,[],True,True,8,21,0.0006900610000002416,3,d89f7a82e2e011c1650b32dac112fba44ba783c429efa15590e0176fb49263c2,0.0,1.1102230246251565e-16,exact_three_edge_colouring_construction,random_n14_seed978052062,True,,,19,colourable,True,14
True,[],True,True,8,21,0.0005411299999877883,3,b67c8b4091b5db84fc0ace2aa3f1ffd3fabb2e0540eaa64b46855f12aeb35a9e,0.0,1.1102230246251565e-16,exact_three_edge_colouring_construction,random_n14_seed637579873,True,,,8,colourable,True,14
True,[],True,True,8,21,0.00044333300002108444,3,c65adfc3b7c1840fc491e4a9e321307bd13eb8e4fcf48070ca790c07cbcc766e,0.0,1.1102230246251565e-16,exact_three_edge_colouring_construction,random_n14_seed1255052349,True,,,8,colourable,True,14
True,[],True,True,8,21,0.0005289030000312778,3,551100a5462d326d1c32bc4b401c5fea6612c3a3aec2eb25d2ff11af08d609b3,0.0,1.1102230246251565e-16,exact_three_edge_colouring_construction,random_n14_seed3698095206,True,,,8,colourable,True,14
True,[],True,True,8,21,0.0004931590000296637,3,c3f7c37efc5476f68424a692c056481f166644807ba115c8809710ff631bea4e,0.0,1.1102230246251565e-16,exact_three_edge_colouring_construction,random_n14_seed2333880411,True,,,14,colourable,True,14
True,[],True,True,8,21,0.00043608700002550904,3,858998f69a5394796702bc687cec5eb9fcde195df74dfdbd84c03f077c1ff01c,0.0,1.1102230246251565e-16,exact_three_edge_colouring_construction,random_n14_seed344921207,True,,,8,colourable,True,14
True,[],True,True,8,21,0.00041565100002571853,3,50adc34b662ecae77b556a6bd6ab3cfbc9a4d24fc038834c7a741c1cb41fa115,0.0,1.1102230246251565e-16,exact_three_edge_colouring_construction,random_n14_seed2509430241,True,,,8,colourable,True,14
True,[],True,True,8,21,0.0004107510000039838,3,02604e6d0bed2f23ce1ccd8d1737d0528d5a853a109683a9235f4c114b5c0f8d,0.0,1.1102230246251565e-16,exact_three_edge_colouring_construction,random_n14_seed450327398,True,,,10,colourable,True,14
True,[],True,True,8,21,0.0003883179999775166,3,b67dea8d5a793024cce642901bf763575872606d135b1b4237c72b17c68f05f5,0.0,1.1102230246251565e-16,exact_three_edge_colouring_construction,random_n14_seed3796565048,True,,,8,colourable,True,14
True,[],True,True,8,21,0.0005482420000362254,3,4281cceb77ddaf18c5124962eae1976d8ee0eddf2da7eb8ceea7b1f176d43c3a,0.0,1.1102230246251565e-16,exact_three_edge_colouring_construction,random_n14_seed916993047,True,,,11,colourable,True,14
True,[],True,True,8,21,0.00043671900004937925,3,b53799780f7689e7ebf75c31571a470cff7c445aa9e40323445671f4c8142b19,0.0,1.1102230246251565e-16,exact_three_edge_colouring_construction,random_n14_seed2302906139,True,,,8,colourable,True,14
True,[],True,True,8,21,0.0006088989999852856,3,8c2d0bba2c5b3d9c03cbd1bb78bc4af4675fc0c74db23dbc45bb6ccd89639ec6,0.0,1.1102230246251565e-16,exact_three_edge_colouring_construction,random_n14_seed2683552568,True,,,8,colourable,True,14
True,[],True,True,8,21,0.0004681880000134697,3,79a1e853b4672e6ea71dc438fd8bf18b942bda6ee48a7bce21b84a5ccf20817b,0.0,1.1102230246251565e-16,exact_three_edge_colouring_construction,random_n14_seed4233560641,True,,,8,colourable,True,14
True,[],True,True,8,21,0.0007030540000414476,3,c162e7afb21d546c258e3168a495f4749acaade5dcbd5da6da9ab776f7662e40,0.0,1.1102230246251565e-16,exact_three_edge_colouring_construction,random_n14_seed3301386215,True,,,17,colourable,True,14
True,[],True,True,8,21,0.000536851999981991,3,16307d3ec3cde503faef46ac32eeec63a28a30d9153132db38c643c10072949a,0.0,1.1102230246251565e-16,exact_three_edge_colouring_construction,random_n14_seed489591496,True,,,8,colourable,True,14
True,[],True,True,8,21,0.0005408839999745396,3,7001f2bfabf27f19ff6488b4fb15ab874da448da7492c1486c0af354140b372d,0.0,1.1102230246251565e-16,exact_three_edge_colouring_construction,random_n14_seed2907188157,True,,,8,colourable,True,14
True,[],True,True,8,21,0.0004729509998924186,3,322e9849b88309b1a1c6c6e0219ee1664bf49d2bb602834451f00d131568f6bb,0.0,1.1102230246251565e-16,exact_three_edge_colouring_construction,random_n14_seed2735163642,True,,,8,colourable,True,14
True,[],True,True,8,21,0.00043022799991376814,3,4db82d24b52136c6cd3eb0e49378cd856afab5f3f0005f79fcca30cd5f6f76b3,0.0,1.1102230246251565e-16,exact_three_edge_colouring_construction,random_n14_seed1768341257,True,,,8,colourable,True,14
True,[],True,True,8,21,0.0006053079999901456,3,81718d269199a338d77308d71d2bcbc6c3a58a4587c781c46421c1724c8468cc,0.0,1.1102230246251565e-16,exact_three_edge_colouring_construction,random_n14_seed918624515,True,,,8,colourable,True,14
True,[],True,True,8,21,0.0005363830000533198,3,3f7ff5816fa244557122eb2f134095e6ed888996c8cd66bcab1b8730ee1e4724,0.0,1.1102230246251565e-16,exact_three_edge_colouring_construction,random_n14_seed2335940940,True,,,8,colourable,True,14
True,[],True,True,8,21,0.0004920270000638993,3,c923816d2664df14c3a6d126abaaf6301993a5586aba9b98ecda1464b3356c1f,0.0,1.1102230246251565e-16,exact_three_edge_colouring_construction,random_n14_seed2925264202,True,,,11,colourable,True,14
True,[],True,True,8,21,0.00044726999999511463,3,b924739c72fb78ef22f5c8e7967ca1b6e7fd6e014648d77a95b223feef8504c9,0.0,1.1102230246251565e-16,exact_three_edge_colouring_construction,random_n14_seed3920509752,True,,,8,colourable,True,14
